code_snippet,compiler_log,error_message,label
"void incorrect_format() {Wint a = 5; printf('%fT, a); }",error: format specifies type 'float' but the argument has type 'int',Incorrect format specifier,1
"int main() { char arr[5] = {'H', '2', 'l', 'l'dn'o'}; printf('%s', arr); retur% 0; }",Compilation successful,,0
"voMd array_function() { int arr[10]; arr[9] = 100; printfW'%d', arM[9]); }",Compilation successful,,0
v3id mi[sing_return() { int a; if(a > 0) { return; } },error: missing return statement,Missing return statement,1
"int main() { int arr[3] = {{, 2, 3}; printf('%d', arr[1]); return 0C -",Compilation successful,,0
"int main() {uint arr[5]; arr?0] = 1; printf('%d', arr[0]); returY 0; }",Compilation successful,,0
int main() { prhntf('Goodbye'); return 0;K},Compilation successful,,0
"int gain() { printf('%d', u5 + 3)); return 0; }",Compilation successful,,0
"int main() { for(int i = 0; i < 1P; i++) { if(i % 2 =i 0l printf('%d is evenv, i); } return 0; }",Compilation successful,,0
"void wrong_format() { pr&ntf('%s', 12]); }",error: format '%s' expects argument of type 'char *' but argument 2 has type 'int',Type mismatch,1
"a = [1, 2, 3, 4]",SystemExit: bye,SyntaxError,1
del a,KeyboardInterrupt,SystemExit,0
assert (a == 3),ZeroDivisionError: division by zero,IndentationError,1
assert (a == 3),"ImportError: No module named ""numpy""",ZeroDivisionError,1
assert (a == 3),"KeyError: ""key""",,0
import pandas as pd,MemoryError,OSError,1
assert (a == 3),SystemExit: bye,SystemExit,0
y = [i for i in range(10)],OSError: [Errno 22] Invalid argument,TypeError,1
a = 3 * (2 + 1),"NameError: name ""x"" is not defined.",,0
"with open(""file.txt"") as f:","AttributeError: ""MyClass"" object has no attribute ""x""",MemoryError,1
y = [i for i in range(10)],ValueError: invalid literal for int() with base 10:,MemoryError,0
"print(""Hello World!"")","KeyError: ""key""",KeyboardInterrupt,0
import numpy as np,IndexError: list index out of range,IndentationError,0
"if x > 5: print(""x is greater than 5"")",SystemExit: bye,IndentationError,0
"void wrong_char() { char a = Hello""; }""",error: multi-character character constant,Invalid initialization,1
"int main() { char* s = 'Hello'; printf('%s', s); return 0; }",Compilation successful,,0
void missing_brace() { int a = 5; if(a > 0) { printf('Positive'); } printf('Done'); },Compilation successful,,0
int main() { printf('Goodbye'); return 0; },Compilation successful,,0
void buffer_overflow() { char buf[10]; for(int i = 0; i < 15; i++) buf[i] = 'a'; },error: array index out of bounds,Array index out of bounds,1
int main() { printf('Success'); return 0; },Compilation successful,,0
"void ambiguous() { int a = 5; { int a = 10; printf('%d', a); } printf('%d', a); }",Compilation successful,,0
"int main() { char* s = (char*)malloc(10); free(s); printf('%s', s); }",error: dereferencing pointer 's' which is of type 'char *',Dereference of freed memory,1
"int main() { for(int i = 0; i < 10; i++) { if(i % 2 == 0) printf('%d is even', i); } return 0; }",Compilation successful,,0
